# visible | band                            | dataset                       | pol   | sampleModel | scalingOffset | scalingFactor    | typicaMin | typicalMax | cyclic | fillValue | validExpr | unit      | decription                                                                                                                                  | flagCoding    | flags
  *       | BT_Value_X                      | BT_Value                      | 0     | *           | *             | *                | 0.0       | 350.0      | *      | -999.0    | *         | K         | Brightness temperature measurement over current Earth fixed grid point, obtained by DFT interpolation from L1b data, antenna X polarisation | *             | *
  *       | BT_Value_Y                      | BT_Value                      | 1     | *           | *             | *                | 0.0       | 350.0      | *      | -999.0    | *         | K         | Brightness temperature measurement over current Earth fixed grid point, obtained by DFT interpolation from L1b data, antenna Y polarisation | *             | *
  *       | Pixel_Radiometric_Accuracy_X    | Radiometric_Accuracy_of_Pixel | 0     | *           | 0.0           | 7.62939453125E-4 | 0.0       | 5.0        | *      | 0.0       | *         | K         | Error accuracy measurement in the Brightness Temperature, antenna X polarisation                                                            | *             | *
  *       | Pixel_Radiometric_Accuracy_Y    | Radiometric_Accuracy_of_Pixel | 1     | *           | 0.0           | 7.62939453125E-4 | 0.0       | 5.0        | *      | 0.0       | *         | K         | Error accuracy measurement in the Brightness Temperature, antenna Y polarisation                                                            | *             | *
  *       | Azimuth_Angle_X                 | Azimuth_Angle                 | 0     | *           | 0.0           | 0.0054931640625  | 0.0       | 360.0      | *      | 0.0       | *         | deg       | Azimuth angle value corresponding to the measured BT value over current Earth fixed grid point, antenna X polarisation                      | *             | *
  *       | Azimuth_Angle_Y                 | Azimuth_Angle                 | 1     | *           | 0.0           | 0.0054931640625  | 0.0       | 360.0      | *      | 0.0       | *         | deg       | Azimuth angle value corresponding to the measured BT value over current Earth fixed grid point, antenna Y polarisation                      | *             | *
  *       | Footprint_Axis1_X               | Footprint_Axis1               | 0     | *           | 0.0           | 0.00152587890625 | 20.0      | 35.0       | *      | 0.0       | *         | km        | Elliptical footprint major semi-axis value, antenna X polarisation                                                                          | *             | *
  *       | Footprint_Axis1_Y               | Footprint_Axis1               | 1     | *           | 0.0           | 0.00152587890625 | 20.0      | 35.0       | *      | 0.0       | *         | km        | Elliptical footprint major semi-axis value, antenna Y polarisation                                                                          | *             | *
  *       | Footprint_Axis2_X               | Footprint_Axis2               | 0     | *           | 0.0           | 0.00152587890625 | 20.0      | 35.0       | *      | 0.0       | *         | km        | Elliptical footprint minor semi-axis value, antenna X polarisation                                                                          | *             | *
  *       | Footprint_Axis2_Y               | Footprint_Axis2               | 1     | *           | 0.0           | 0.00152587890625 | 20.0      | 35.0       | *      | 0.0       | *         | km        | Elliptical footprint minor semi-axis value, antenna Y polarisation                                                                          | *             | *
  *       | Flags_X                         | Flags                         | 0     | *           | 0.0           | *                | 0         | 65535      | *      | 0.0       | *         | *         | L1c flags applicable to the pixel for this particular integration time, antenna X polarisation                                              | L1c flags     | DBL_SM_XXXX_MIR_XXXD1C_0200_flags
  *       | Flags_Y                         | Flags                         | 1     | *           | 0.0           | *                | 0         | 65535      | *      | 0.0       | *         | *         | L1c flags applicable to the pixel for this particular integration time, antenna Y polarisation                                              | L1c flags     | DBL_SM_XXXX_MIR_XXXD1C_0200_flags
