# visible | band                         | dataset                      | pol   | sampleModel | scalingOffset | scalingFactor    | typicaMin | typicalMax | cyclic | fillValue | validExpr                                  | unit   | decription                                                                                                        | flagCoding          | flags
  *       | Tau_Nad_FO_Asc               | Tau_Nad_FO_Asc               | *     | *           | *             | 0.00006103515625 | *         | *          | *      | 65535     | *                                          | *      | Forest tau at nadir obtained from ascending MIR_SMUDP2                                                            | *                   | *
  *       | Tau_Nad_FO_DQX_Asc           | Tau_Nad_FO_DQX_Asc           | *     | *           | *             | 0.00390625       | *         | *          | *      | 255       | *                                          | *      | DQX obtained from ascending MIR_SMUDP2                                                                            | *                   | *
  *       | DT_Branch_FO_Asc             | DT_Branch_FO_Asc             | *     | *           | *             | *                | *         | *          | *      | 255       | *                                          | *      | Decision Tree branch of DGG node obtained from ascending MIR_SMUDP2                                               | *                   | *
  *       | Date_Stamp_FO_Asc            | Date_Stamp_FO_Asc            | *     | *           | *             | *                | *         | *          | *      | 65535     | *                                          | *      | The day at which the product is acquired from ascending MIR_SMUDP2                                                | *                   | *
  *       | Tau_Nad_FO_Desc              | Tau_Nad_FO_Desc              | *     | *           | *             | 0.00006103515625 | *         | *          | *      | 65535     | *                                          | *      | Forest tau at nadir obtained from descending MIR_SMUDP2                                                           | *                   | *
  *       | Tau_Nad_FO_DQX_Desc          | Tau_Nad_FO_DQX_Desc          | *     | *           | *             | 0.00390625       | *         | *          | *      | 255       | *                                          | *      | DQX obtained from descending MIR_SMUDP2                                                                           | *                   | *
  *       | DT_Branch_FO_Desc            | DT_Branch_FO_Desc            | *     | *           | *             | *                | *         | *          | *      | 255       | *                                          | *      | Decision Tree branch of DGG node obtained from descending MIR_SMUDP2                                              | *                   | *
  *       | Date_Stamp_FO_Desc           | Date_Stamp_FO_Desc           | *     | *           | *             | *                | *         | *          | *      | 65535     | *                                          | *      | The day at which the product is acquired from descending MIR_SMUDP2                                               | *                   | *
#
  *       | Grid_Point_ID                | Grid_Point_ID                | *     | *           | *             | *                | 0.0       | 9262145.0  | *      | 0.0       | *                                          | *      | Unique identifier for Earth fixed grid point (1, 9262145)                                                         | *                   | *
  *       | Latitude                     | Latitude                     | *     | *           | *             | *                | -90.0     | 90.0       | *      | -999.0    | *                                          | deg    | Latitude (-90, 90)                                                                                                | *                   | *
  *       | Longitude                    | Longitude                    | *     | *           | *             | *                | 0.0       | 360.0      | true   | -999.0    | *                                          | deg    | Longitude (0, 360)                                                                                                | *                   | *
