# visible | band                            | dataset                                 | pol   | sampleModel | scalingOffset | scalingFactor     | typicaMin | typicalMax | cyclic | fillValue | validExpr | unit      | decription  | flagCoding    | flags
  *       | BT_Value_X                      | Brightness_temperature_real_part        | 0     | *           | *             | *                 | 0.0       | 350.0      | *      | *         | *         | *         | *           | *             | *
  *       | BT_Value_Y                      | Brightness_temperature_real_part        | 1     | *           | *             | *                 | 0.0       | 350.0      | *      | *         | *         | *         | *           | *             | *
  *       | BT_Value_XY_Real                | Brightness_temperature_real_part        | 2     | *           | *             | *                 | -30.0     | 30.0       | *      | *         | *         | *         | *           | *             | *
  *       | BT_Value_XY_Imag                | Brightness_temperature_imaginary_part   | 2     | *           | *             | *                 | -20.0     | 20.0       | *      | *         | *         | *         | *           | *             | *
  *       | Pixel_Radiometric_Accuracy_X    | Pixel_radiometric_accuracy              | 0     | *           | *             | *                 | 0.0       | 5.0        | *      | *         | *         | *         | *           | *             | *
  *       | Pixel_Radiometric_Accuracy_Y    | Pixel_radiometric_accuracy              | 1     | *           | *             | *                 | 0.0       | 5.0        | *      | *         | *         | *         | *           | *             | *
  *       | Pixel_Radiometric_Accuracy_XY   | Pixel_radiometric_accuracy              | 2     | *           | *             | *                 | 0.0       | 5.0        | *      | *         | *         | *         | *           | *             | *
  *       | Incidence_Angle_X               | Incidence_angle                         | 0     | *           | *             | *                 | 0.0       | 90.0       | *      | *         | *         | *         | *           | *             | *
  *       | Incidence_Angle_Y               | Incidence_angle                         | 1     | *           | *             | *                 | 0.0       | 90.0       | *      | *         | *         | *         | *           | *             | *
  *       | Incidence_Angle_XY              | Incidence_angle                         | 2     | *           | *             | *                 | 0.0       | 90.0       | *      | *         | *         | *         | *           | *             | *
  *       | Azimuth_Angle_X                 | Azimuth_angle                           | 0     | *           | *             | *                 | 0.0       | 360.0      | true   | *         | *         | *         | *           | *             | *
  *       | Azimuth_Angle_Y                 | Azimuth_angle                           | 1     | *           | *             | *                 | 0.0       | 360.0      | true   | *         | *         | *         | *           | *             | *
  *       | Azimuth_Angle_XY                | Azimuth_angle                           | 2     | *           | *             | *                 | 0.0       | 360.0      | true   | *         | *         | *         | *           | *             | *
  *       | Faraday_Rotation_Angle_X        | Faraday_rotational_angle                | 0     | *           | *             | *                 | 0.0       | 360.0      | true   | *         | *         | *         | *           | *             | *
  *       | Faraday_Rotation_Angle_Y        | Faraday_rotational_angle                | 1     | *           | *             | *                 | 0.0       | 360.0      | true   | *         | *         | *         | *           | *             | *
  *       | Faraday_Rotation_Angle_XY       | Faraday_rotational_angle                | 2     | *           | *             | *                 | 0.0       | 360.0      | true   | *         | *         | *         | *           | *             | *
  *       | Geometric_Rotation_Angle_X      | Geometric_rotational_angle              | 0     | *           | *             | *                 | 0.0       | 360.0      | true   | *         | *         | *         | *           | *             | *
  *       | Geometric_Rotation_Angle_Y      | Geometric_rotational_angle              | 1     | *           | *             | *                 | 0.0       | 360.0      | true   | *         | *         | *         | *           | *             | *
  *       | Geometric_Rotation_Angle_XY     | Geometric_rotational_angle              | 2     | *           | *             | *                 | 0.0       | 360.0      | true   | *         | *         | *         | *           | *             | *
  *       | Footprint_Axis1_X               | Footprint_axis_1                        | 0     | *           | *             | *                 | 20.0      | 35.0       | *      | *         | *         | *         | *           | *             | *
  *       | Footprint_Axis1_Y               | Footprint_axis_1                        | 1     | *           | *             | *                 | 20.0      | 35.0       | *      | *         | *         | *         | *           | *             | *
  *       | Footprint_Axis1_XY              | Footprint_axis_1                        | 2     | *           | *             | *                 | 20.0      | 35.0       | *      | *         | *         | *         | *           | *             | *
  *       | Footprint_Axis2_X               | Footprint_axis_2                        | 0     | *           | *             | *                 | 20.0      | 35.0       | *      | *         | *         | *         | *           | *             | *
  *       | Footprint_Axis2_Y               | Footprint_axis_2                        | 1     | *           | *             | *                 | 20.0      | 35.0       | *      | *         | *         | *         | *           | *             | *
  *       | Footprint_Axis2_XY              | Footprint_axis_2                        | 2     | *           | *             | *                 | 20.0      | 35.0       | *      | *         | *         | *         | *           | *             | *
  *       | Water_Fraction                  | Water_fraction                          | 4     | *           | *             | *                 | 0.0       | 50.0       | *      | *         | *         | *         | *           | *             | *
  *       | Flags                           | SMOS_information_flag                   | 4     | *           | *             | *                 | 0.0       | 8192.0     | *      | *         | *         | *         | *           | Flags         | BUFR_flags
