# visible | band                    | dataset                 | pol   | sampleModel | scalingOffset | scalingFactor | typicaMin | typicalMax | cyclic | fillValue | validExpr | unit      | decription                                                                                                                                | flagCoding    | flags
# Diff_TBs_Type                                                                                                                                            *
  *       | Diff_TB_1               | Diff_TB_1               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Diff_TB_1                                                                                              | *             | *
  *       | Diff_TB_2               | Diff_TB_2               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Diff_TB_2                                                                                              | *             | *
  *       | Diff_TB_3               | Diff_TB_3               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Diff_TB_3                                                                                              | *             | *
  *       | Diff_TB_4               | Diff_TB_4               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Diff_TB_4                                                                                              | *             | *
  *       | Tb_gal_H                | Tb_gal_H                | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Tb_gal_H                                                                                               | *             | *
  *       | Tb_gal_V                | Tb_gal_V                | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Tb_gal_V                                                                                               | *             | *
# Geophysical_Parameters_Post_Type
  *       | Param1_M1               | Param1_M1               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_M1                                                                                              | *             | *
  *       | Param1_sigma_M1         | Param1_sigma_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_sigma_M1                                                                                        | *             | *
  *       | Param2_M1               | Param2_M1               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_M1                                                                                              | *             | *
  *       | Param2_sigma_M1         | Param2_sigma_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_sigma_M1                                                                                        | *             | *
  *       | Param3_M1               | Param3_M1               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_M1                                                                                              | *             | *
  *       | Param3_sigma_M1         | Param3_sigma_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_sigma_M1                                                                                        | *             | *
  *       | Param4_M1               | Param4_M1               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_M1                                                                                              | *             | *
  *       | Param4_sigma_M1         | Param4_sigma_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_sigma_M1                                                                                        | *             | *
  *       | Param5_M1               | Param5_M1               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_M1                                                                                              | *             | *
  *       | Param5_sigma_M1         | Param5_sigma_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_sigma_M1                                                                                        | *             | *
  *       | Param6_M1               | Param6_M1               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_M1                                                                                              | *             | *
  *       | Param6_sigma_M1         | Param6_sigma_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_sigma_M1                                                                                        | *             | *
  *       | Param7_M1               | Param7_M1               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_M1                                                                                              | *             | *
  *       | Param7_sigma_M1         | Param7_sigma_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_sigma_M1                                                                                        | *             | *
  *       | Param1_M2               | Param1_M2               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_M2                                                                                              | *             | *
  *       | Param1_sigma_M2         | Param1_sigma_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_sigma_M2                                                                                        | *             | *
  *       | Param2_M2               | Param2_M2               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_M2                                                                                              | *             | *
  *       | Param2_sigma_M2         | Param2_sigma_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_sigma_M2                                                                                        | *             | *
  *       | Param3_M2               | Param3_M2               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_M2                                                                                              | *             | *
  *       | Param3_sigma_M2         | Param3_sigma_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_sigma_M2                                                                                        | *             | *
  *       | Param4_M2               | Param4_M2               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_M2                                                                                              | *             | *
  *       | Param4_sigma_M2         | Param4_sigma_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_sigma_M2                                                                                        | *             | *
  *       | Param5_M2               | Param5_M2               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_M2                                                                                              | *             | *
  *       | Param5_sigma_M2         | Param5_sigma_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_sigma_M2                                                                                        | *             | *
