# visible | band                        | dataset                     | pol   | sampleModel | scalingOffset | scalingFactor       | typicaMin | typicalMax | cyclic | fillValue | validExpr | unit      | decription                                                                                                                                                 | flagCoding        | flags                                   | gridPointData | dimensionNames          | memberIndex | compoundIndex
# retrieval results
  *       | Soil_Moisture               | Soil_Moisture               | *     | *           | *             | *                   | 0.0       | 0.6        | *      | -999.0    | *         | m3 m-3    | Retrieved soil moisture value                                                                                                                              | *                 | *                                       | true         | n_grid_points           | 0           | 0
  *       | Soil_Moisture_DQX           | Soil_Moisture_DQX           | *     | *           | *             | *                   | 0.0       | 1.2        | *      | -999.0    | *         | m3 m-3    | DQX for soil moisture                                                                                                                                      | *                 | *                                       | true         | n_grid_points           | 1           | 0
  *       | Optical_Thickness_Nad       | Optical_Thickness_Nad       | *     | *           | *             | *                   | 0.0       | 3.0        | *      | -999.0    | *         | Np        | Nadir optical thickness estimate for vegetation layer                                                                                                      | *                 | *                                       | true         | n_grid_points           | 2           | 0
  *       | Optical_Thickness_Nad_DQX   | Optical_Thickness_Nad_DQX   | *     | *           | *             | *                   | 0.0       | 3.0        | *      | -999.0    | *         | Np        | DQX for nadir optical thickness                                                                                                                            | *                 | *                                       | true         | n_grid_points           | 3           | 0
  *       | Surface_Temperature         | Surface_Temperature         | *     | *           | *             | *                   | 230.0     | 350.0      | *      | -999.0    | *         | K         | Surface temperature - may be a retrieved value or from an external source                                                                                  | *                 | *                                       | true         | n_grid_points           | 4           | 0
  *       | Surface_Temperature_DQX     | Surface_Temperature_DQX     | *     | *           | *             | *                   | 0.0       | 50.0       | *      | -999.0    | *         | K         | DQX for surface temperature                                                                                                                                | *                 | *                                       | true         | n_grid_points           | 5           | 0
  *       | TTH                         | TTH                         | *     | *           | *             | *                   | 0.1       | 15.0       | *      | -999.0    | *         | *         | Optical thickness coefficient for polarisation H                                                                                                           | *                 | *                                       | true         | n_grid_points           | 6           | 0
  *       | TTH_DQX                     | TTH_DQX                     | *     | *           | *             | *                   | 0.0       | 30.0       | *      | -999.0    | *         | *         | DQX for TTH                                                                                                                                                | *                 | *                                       | true         | n_grid_points           | 7           | 0
  *       | RTT                         | RTT                         | *     | *           | *             | *                   | 0.05      | 20.0       | *      | -999.0    | *         | *         | Ratio of optical thickness coefficients TTH/TTV                                                                                                            | *                 | *                                       | true         | n_grid_points           | 8           | 0
  *       | RTT_DQX                     | RTT_DQX                     | *     | *           | *             | *                   | 0.0       | 40.0       | *      | -999.0    | *         | *         | DQX for RTT                                                                                                                                                | *                 | *                                       | true         | n_grid_points           | 9           | 0
  *       | Scattering_Albedo_H         | Scattering_Albedo_H         | *     | *           | *             | *                   | 0.0       | 0.2        | *      | -999.0    | *         | *         | Scattering albedo for horizontal polarisation                                                                                                              | *                 | *                                       | true         | n_grid_points           | 10          | 0
  *       | Scattering_Albedo_H_DQX     | Scattering_Albedo_H_DQX     | *     | *           | *             | *                   | 0.0       | 1.0        | *      | -999.0    | *         | *         | DQX for scattering albedo for horizontal polarisation                                                                                                      | *                 | *                                       | true         | n_grid_points           | 11          | 0
  *       | DIFF_Albedos                | DIFF_Albedos                | *     | *           | *             | *                   | 0.0       | 0.2        | *      | -999.0    | *         | *         | Difference of albedos H-V                                                                                                                                  | *                 | *                                       | true         | n_grid_points           | 12          | 0
  *       | DIFF_Albedos_DQX            | DIFF_Albedos_DQX            | *     | *           | *             | *                   | 0.0       | 1.0        | *      | -999.0    | *         | *         | DQX for difference of albedos H-V                                                                                                                          | *                 | *                                       | true         | n_grid_points           | 13          | 0
  *       | Roughness_Param             | Roughness_Param             | *     | *           | *             | *                   | 0.0       | 5.0        | *      | -999.0    | *         | K        | Roughness parameter estimate                                                                                                                               | *                 | *                                        | true         | n_grid_points           | 14          | 0
  *       | Roughness_Param_DQX         | Roughness_Param_DQX         | *     | *           | *             | *                   | 0.0       | 10.0       | *      | -999.0    | *         | K        | DQX for roughness parameter estimate                                                                                                                       | *                 | *                                        | true         | n_grid_points           | 15          | 0
  *       | Dielect_Const_MD_RE         | Dielect_Const_MD_RE         | *     | *           | *             | *                   | 0.0       | 160.0      | *      | -999.0    | *         | Fm-1     | Real part of the dielectric constant from MD                                                                                                               | *                 | *                                        | true         | n_grid_points           | 16          | 0
  *       | Dielect_Const_MD_RE_DQX     | Dielect_Const_MD_RE_DQX     | *     | *           | *             | *                   | 0.0       | 160.0      | *      | -999.0    | *         | Fm-1     | DQX for the real part of the dielectric constant from MD                                                                                                   | *                 | *                                        | true         | n_grid_points           | 17          | 0
  *       | Dielect_Const_MD_IM         | Dielect_Const_MD_IM         | *     | *           | *             | *                   | -50.0     | 50.0       | *      | -999.0    | *         | Fm-1     | Imaginary part of the dielectric constant from MD                                                                                                          | *                 | *                                        | true         | n_grid_points           | 18          | 0
  *       | Dielect_Const_MD_IM_DQX     | Dielect_Const_MD_IM_DQX     | *     | *           | *             | *                   | 0.0       | 100.0      | *      | -999.0    | *         | Fm-1     | DQX for the imaginary part of the dielectric constant from MD                                                                                              | *                 | *                                        | true         | n_grid_points           | 19          | 0
  *       | Dielect_Const_Non_MD_RE     | Dielect_Const_Non_MD_RE     | *     | *           | *             | *                   | 0.0       | 160.0      | *      | -999.0    | *         | Fm-1     | Real part of the dielectric constant from retrieval models other than MD                                                                                   | *                 | *                                        | true         | n_grid_points           | 20          | 0
  *       | Dielect_Const_Non_MD_RE_DQX | Dielect_Const_Non_MD_RE_DQX | *     | *           | *             | *                   | 0.0       | 160.0      | *      | -999.0    | *         | Fm-1     | DQX for the real part of the dielectric constant from retrieval models other than MD                                                                       | *                 | *                                        | true         | n_grid_points           | 21          | 0
  *       | Dielect_Const_Non_MD_IM     | Dielect_Const_Non_MD_IM     | *     | *           | *             | *                   | -50.0     | 50.0       | *      | -999.0    | *         | Fm-1     | Imaginary part of the dielectric constant from retrieval models other than MD                                                                              | *                 | *                                        | true         | n_grid_points           | 21          | 0
  *       | Dielect_Const_Non_MD_IM_DQX | Dielect_Const_Non_MD_IM_DQX | *     | *           | *             | *                   | 0.0       | 100.0      | *      | -999.0    | *         | Fm-1     | DQX for the imaginary part of the dielectric constant from retrieval models other than MD                                                                  | *                 | *                                        | true          | n_grid_points           | -1          | -1
  *       | TB_ASL_Theta_B_H            | TB_ASL_Theta_B_H            | *     | *           | *             | *                   | 50.0      | 350.0      | *      | -999.0    | *         | K        | Surface level TB (corrected from sky/atmosphere contribution) computed from forward model with a specific incidence angle of 42.5°, and for H polarisation | *                 | *                                        | true          | n_grid_points           | -1          | -1
  *       | TB_ASL_Theta_B_H_DQX        | TB_ASL_Theta_B_H_DQX        | *     | *           | *             | *                   | 0.0       | 50.0       | *      | -999.0    | *         | K        | DQX for surface level TB for H polarisation                                                                                                                | *                 | *                                        | true          | n_grid_points           | -1          | -1
  *       | TB_ASL_Theta_B_V            | TB_ASL_Theta_B_V            | *     | *           | *             | *                   | 50.0      | 350.0      | *      | -999.0    | *         | K        | Surface level TB (corrected from sky/atmosphere contribution) computed from forward model with a specific incidence angle of 42.5°, and for V polarisation | *                 | *                                        | true          | n_grid_points           | -1          | -1
  *       | TB_ASL_Theta_B_V_DQX        | TB_ASL_Theta_B_V_DQX        | *     | *           | *             | *                   | 0.0       | 50.0       | *      | -999.0    | *         | K        | DQX for surface level TB for V polarisation                                                                                                                | *                 | *                                        | true         | n_grid_points           | 21          | 0
  *       | TB_TOA_Theta_B_H            | TB_TOA_Theta_B_H            | *     | *           | *             | *                   | 50.0      | 350.0      | *      | -999.0    | *         | K        | Top of atmosphere TB computed from forward model at specific incidence angle of 42.5°, for H polarisation                                                  | *                 | *                                        | true         | n_grid_points           | 0           | 1
  *       | TB_TOA_Theta_B_H_DQX        | TB_TOA_Theta_B_H_DQX        | *     | *           | *             | *                   | 0.0       | 50.0       | *      | -999.0    | *         | K        | DQX for top of the atmosphere TB for H polarisation                                                                                                        | *                 | *                                        | true         | n_grid_points           | 1           | 1
  *       | TB_TOA_Theta_B_V            | TB_TOA_Theta_B_V            | *     | *           | *             | *                   | 50.0      | 350.0      | *      | -999.0    | *         | K        | Top of atmosphere TB computed from forward model at specific incidence angle of 42.5°, for V polarisation                                                  | *                 | *                                        | true         | n_grid_points           | 2           | 1
  *       | TB_TOA_Theta_B_V_DQX        | TB_TOA_Theta_B_V_DQX        | *     | *           | *             | *                   | 0.0       | 50.0       | *      | -999.0    | *         | K        | DQX for top of the atmosphere TB for V polarisation                                                                                                        | *                 | *                                        | true         | n_grid_points           | 3           | 1
