# visible | name                  | mask     | color | transparency | description
  *       | FG_OOR_LUT_ROUGH_DIM1 | 00000001 | *     | *            | Out of range flag raised if SST value falls outside the acceptable limits
  *       | FG_OOR_LUT_ROUGH_DIM2 | 00000002 | *     | *            | Out of range flag raised if 2nd LUT parameter falls outside the acceptable LUT range.
  *       | FG_OOR_LUT_ROUGH_DIM3 | 00000004 | *     | *            | Out of range flag raised if 3rd LUT parameter falls outside the acceptable LUT range.
  *       | FG_CTRL_CHI2          | 00000008 | *     | *            | Poor fit quality
  *       | FG_CTRL_CHI2_P        | 00000010 | *     | *            | Poor fit quality
  *       | FG_CTRL_QUALITY_SSS   | 00000020 | *     | *            | At least one critical flag was raised during SSS1 retrieval
  *       | FG_CTRL_SUNGLINT      | 00000040 | *     | *            | Grid point with number of measurements flagged for sunglint above threshold
  *       | FG_CTRL_MOONGLINT     | 00000080 | *     | *            | Grid point with number of measurements flagged for moonglint above threshold
  *       | FG_CTRL_GAL_NOISE     | 00000100 | *     | *            | Grid point with number of measurements flagged for galactic noise above threshold
  *       | FG_CTRL_GAL_NOISE_POL | 00000200 | *     | *            | Grid point with number of measurements flagged for polarised galactic noise above threshold
  *       | FG_CTRL_REACH_MAXITER | 00000400 | *     | *            | Maximum number of iteration reached before convergence
  *       | FG_CTRL_NUM_MEAS_MIN  | 00000800 | *     | *            | Not processed due to too few valid measurements
  *       | FG_CTRL_NUM_MEAS_LOW  | 00001000 | *     | *            | Number of valid measurements used for retrieval is less than Tg_num_meas_valid
  *       | FG_CTRL_MANY_OUTLIERS | 00002000 | *     | *            | If number of outliers Dg_num_outliers greater than Tg_num_outliers_max
  *       | FG_CTRL_MARQ          | 00004000 | *     | *            | Iterative loop ends because Marquardt increment is greather than lambdaMax
  *       | FG_CTRL_ROUGHNESS     | 00008000 | *     | *            | Roughness correction applied
  *       | FG_CTRL_FOAM          | 00010000 | *     | *            | Wind speed is less than Tg_WS_foam and foam contribution and foam fraction are set to zero
  *       | FG_CTRL_ECMWF         | 00020000 | *     | *            | Flag set to false if one or more ECMWF data is missing for the different models
  *       | FG_CTRL_VALID         | 00040000 | *     | *            | Flags raised if grid points pass grid point measurement discrimination tests
  *       | FG_CTRL_NO_SURFACE    | 00080000 | *     | *            | Flags raised if the 42.5° angle is not included in the dwell line for grid points
  *       | FG_CTRL_RANGE_ACARD   | 00100000 | *     | *            | Flags raised if retrieved Acard is outside range
  *       | FG_CTRL_SIGMA_ACARD   | 00200000 | *     | *            | Flags raised if retrieved Acard sigma is too high
  *       | FG_CTRL_QUALITY_ACARD | 00400000 | *     | *            | Flags raised if at least one critical flag was raised during Acard retrieval
