# visible | name       | mask     | color | transparency | description
# *       | spare      | 00000001 | *     | *            | this flag is never raised
  *       | SP_FLAG    | 00000002 | *     | *            | Degradation flag: surface pressure
  *       | 2T_FLAG    | 00000004 | *     | *            | Degradation flag: air temperature 2m
  *       | SSTK_FLAG  | 00000008 | *     | *            | Degradation flag: sea surface temperature
  *       | TCWV_FLAG  | 00000010 | *     | *            | Degradation flag: total column water vapour
# *       | LSP_FLAG   | 00000020 | *     | *            | Degradation flag: large scale precipitation
# *       | CP_FLAG    | 00000040 | *     | *            | Degradation flag: convective precipitation
# *       | spare      | 00000080 | *     | *            | this flag is never raised
  *       | SWVL1_FLAG | 00000100 | *     | *            | Degradation flag: volumetric soil water L1
  *       | SWVL2_FLAG | 00000200 | *     | *            | Degradation flag: volumetric soil water L2
  *       | SRC_FLAG   | 00000400 | *     | *            | Degradation flag: skin reservoir content
  *       | STL1_FLAG  | 00000800 | *     | *            | Degradation flag: soil temperature L1
  *       | STL2_FLAG  | 00001000 | *     | *            | Degradation flag: soil temperature L2
  *       | STL3_FLAG  | 00002000 | *     | *            | Degradation flag: soil temperature L3
  *       | STL4_FLAG  | 00004000 | *     | *            | Degradation flag: soil temperature L4
  *       | SKT_FLAG   | 00008000 | *     | *            | Degradation flag: skin temperature
  *       | TSN_FLAG   | 00010000 | *     | *            | Degradation flag: temperature snow layer
  *       | ISTL1_FLAG | 00020000 | *     | *            | Degradation flag: ice surface temperature
  *       | SD_FLAG    | 00040000 | *     | *            | Degradation flag: snow depth
  *       | SMLT_FLAG  | 00080000 | *     | *            | Degradation flag: accumulated water
  *       | RSN_FLAG   | 00100000 | *     | *            | Degradation flag: Snow density
  *       | U_FLAG     | 00200000 | *     | *            | Degradation flag: wind zonal lowest level
  *       | V_FLAG     | 00400000 | *     | *            | Degradation flag: wind meridional lowest level
# *       | T_FLAG     | 00800000 | *     | *            | Degradation flag: temperature lowest level
# *       | Q_FLAG     | 01000000 | *     | *            | Degradation flag: specific humidity lowest level
# *       | CHNK_FLAG  | 02000000 | *     | *            | Degradation flag: Charnock parameter
# *       | 2D_FLAG    | 04000000 | *     | *            | Degradation flag: dewpoint 2m
# *       | MSL_FLAG   | 08000000 | *     | *            | Degradation flag: sea level pressure
# *       | NSSS_FLAG  | 10000000 | *     | *            | Degradation flag: northward surface stress rate
# *       | EWSS_FLAG  | 20000000 | *     | *            | Degradation flag: eastward surface stress rate
# *       | SSR_FLAG   | 40000000 | *     | *            | Degradation flag: surface shortwave radiation rate
# *       | STR_FLAG   | 80000000 | *     | *            | Degradation flag: surface thermal radiative flux rate
